name,stars,address,cadena,tarifa,price,hotel_url
Palacio O?Farrill,4,"CL Cuba, esquina a Chacón, 102-108, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD60,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46568&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
El Comendador,3,"CL Calle Obrapia #55esq. a Baratillo, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD60,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46684&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Los Frailes,3,"CL Calle Teniente Rey, entre Oficios y Mercaderes, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD63,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46581&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Ambos Mundos,4,"CL Calle Obispo esquina a Mercaderes, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD67,50",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46659&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Armadores de Santander,4,"CL Calle Luz #4 esq. a San Pedro, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD72,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46660&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Palacio del Marqués de San Felipe y Santiago de Bejucal,5,"CL Oficios, esquina a Amargura, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD80,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46592&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Palacio de los Corredores,5,"CL Oficios 154 Plaza de San Francisco, entre Teniente Rey y Amargura, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD87,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52827&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Santa Isabel,5,"CL Baratillo,entre Obispo y Narciso López, 9 La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD90,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46569&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Roc El Viejo y El Mar,4,"AV 5ta y 248, Santa Fe, Playa, S/N LA HABANA",Roc Hoteles,Alojamiento con desayuno incluido,"USD93,15",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53080&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Palacio Cueto,5,"CL Inquisidor No. 351-353 esquina a Muralla, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD97,88",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52759&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Marqués de Cárdenas de Montehermoso,5,"CL Oficios No. 110 entre Amargura y Lamparilla, S/N La Habana Vieja",Gaviota,Alojamiento y desayuno,"USD97,88",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52760&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Hotel Nacional de Cuba,5,"CL Esquina 21 y O, Vedado, Plaza, S/N LA HABANA",GranCaribe,Alojamiento y Desayuno,"USD98,51",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;48765&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Meliá Habana,5,Ave. 3Era. E/ 76 Y 80 Miramar Havana,Meliá,,No disponible,
Meliá Cohiba,5,Ave. Paseo entre 1ª y 3ª Vedado Havana,Meliá,,No disponible,
TRYP Habana Libre,5,23 Calle L E 23 Y 25 Havana,Meliá,,No disponible,
Hotel Colina,2,Calle L e/ 27 y Jovellar vedado La Habana,Islazul,,No disponible,
Villa Bacuranao,2,Vía Blanca Km 15 ½ La Habana,Islazul,,No disponible,
Hotel Panamericano,2,CALLE A Y AVE.CENTRAL. COJIMAR. La Habana,Islazul,,No disponible,
Hotel Bella Habana,3,CALLE CONILL E/ AVE. BOYEROS Y MARINO La Habana,Islazul,,No disponible,
NH Capri La Habana,4,Ave. 21 esq. N. Vedado La Habana,HOTELES NH,,No disponible,
NH Collection Victoria La Habana,4,"calle 19 No. 101 entre L y M, Vedado La Habana",HOTELES NH,,No disponible,
Hotel Lincoln,3,"Virtudes No.157 esq. a Galiano, Centro Habana La Habana",Islazul,,No disponible,
Hostel Vedado Azul,2,"Calle 2 e/ 23 y 25 Vedado, Plaza de la Revolución La Habana",Islazul,,No disponible,
